City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Da Nang,VN,16.07,108.22,75.2,88,40,1.12,'scattered clouds'
149,Saint-Philippe,RE,-21.36,55.77,69.8,60,90,5.82,'overcast clouds'
150,Tuktoyaktuk,CA,69.45,-133.04,12.2,92,90,17.22,'light snow'
151,Sao Filipe,CV,14.9,-24.5,79.34,75,68,10.4,'broken clouds'
152,Socoltenango,MX,16.22,-92.25,69.82,84,100,1.86,'light rain'
153,Shache,CN,38.42,77.24,34.12,84,0,3.22,'clear sky'
154,Saldanha,ZA,-33.01,17.94,66.2,59,0,4.7,'clear sky'
155,Bukama,CD,-9.2,25.85,72.52,73,1,0.63,'clear sky'
156,Quelimane,MZ,-17.88,36.89,73.0,94,20,2.35,'few clouds'
157,Port Alfred,ZA,-33.59,26.89,65.28,84,27,19.26,'scattered clouds'
158,Jackson,US,42.42,-122.83,75.2,25,1,1.92,'clear sky'
159,Long Beach,US,33.77,-118.19,87.8,23,1,4.7,'clear sky'
160,Cururupu,BR,-1.83,-44.87,77.94,80,11,4.0,'few clouds'
161,Mata,PT,40.68,-7.46,62.01,92,100,4.61,'overcast clouds'
162,Eureka,US,40.8,-124.16,68.0,67,1,4.7,'clear sky'
163,Yellowknife,CA,62.46,-114.35,16.0,85,90,14.99,'light snow'
164,Khatanga,RU,71.97,102.5,3.81,93,100,6.62,'overcast clouds'
165,San Juan Bautista,PE,-14.01,-75.74,64.4,82,90,11.41,'overcast clouds'
166,Makakilo City,US,21.35,-158.09,82.4,61,75,9.17,'broken clouds'
167,Hofn,IS,64.25,-15.21,38.57,70,0,15.82,'clear sky'
168,Alofi,NU,-19.06,-169.92,78.8,88,75,16.11,'broken clouds'
169,Biak,ID,-0.91,122.88,77.83,77,100,5.82,'overcast clouds'
170,Souillac,MU,-20.52,57.52,69.8,68,40,9.17,'scattered clouds'
171,Bethel,US,41.37,-73.41,52.0,93,90,4.7,"'moderate rain', 'mist'"
172,Ambon,ID,-3.7,128.18,82.99,93,100,6.85,'light rain'
173,Le Vauclin,MQ,14.55,-60.84,77.0,94,97,3.36,'light rain'
174,Talnakh,RU,69.49,88.4,21.2,92,100,13.42,'light snow'
175,Saint Anthony,US,45.02,-93.22,37.99,29,1,10.29,'clear sky'
176,Kitui,KE,-1.37,38.01,66.06,89,47,7.43,'scattered clouds'
177,Evensk,RU,61.95,159.23,20.88,92,92,5.23,'overcast clouds'
178,Las Vegas,US,36.17,-115.14,86.0,7,1,8.05,'clear sky'
179,Naryan-Mar,RU,67.67,53.09,28.26,98,100,14.03,'overcast clouds'
180,Fortuna,US,40.6,-124.16,66.99,59,1,10.29,'clear sky'
181,Cotonou,BJ,6.37,2.42,80.4,86,45,11.92,'scattered clouds'
182,Ketchikan,US,55.34,-131.65,53.6,100,90,28.86,"'moderate rain', 'mist'"
183,Plouzane,FR,48.38,-4.62,60.8,100,90,28.86,'mist'
184,Fairbanks,US,64.84,-147.72,3.0,84,90,1.59,'overcast clouds'
185,Linqiong,CN,30.42,103.46,64.0,93,60,1.16,'broken clouds'
186,Praia Da Vitoria,PT,38.73,-27.07,64.0,93,75,19.69,'broken clouds'
187,Aljezur,PT,37.32,-8.8,63.63,87,100,6.89,'overcast clouds'
188,Leningradskiy,RU,69.38,178.42,14.67,82,84,5.7,'broken clouds'
189,San-Pedro,CI,4.75,-6.64,77.16,90,48,5.88,'scattered clouds'
190,Zalantun,CN,48.0,122.72,23.07,81,97,18.61,'overcast clouds'
191,Castro,BR,-24.79,-50.01,54.97,84,14,7.72,'few clouds'
192,Deputatskiy,RU,69.3,139.9,-15.47,88,83,6.38,'broken clouds'
193,Port Hardy,CA,50.7,-127.42,55.4,66,75,6.93,'broken clouds'
194,Dikson,RU,73.51,80.55,17.24,98,96,8.14,'overcast clouds'
195,Bengkulu,ID,-3.8,102.27,75.07,85,99,3.83,'overcast clouds'
196,Phonhong,LA,18.5,102.42,74.64,89,87,1.57,'overcast clouds'
197,Lufilufi,WS,-13.87,-171.6,87.8,70,75,4.7,'broken clouds'
198,Zhanakorgan,KZ,43.91,67.25,40.41,68,0,2.57,'clear sky'
199,Baranain,ES,42.81,-1.68,59.0,87,0,5.82,'clear sky'
200,Haines Junction,CA,60.75,-137.51,14.0,56,100,2.24,'overcast clouds'
201,Meadow Lake,US,34.8,-106.54,69.01,25,40,2.66,'scattered clouds'
202,Kolondieba,ML,11.09,-6.89,79.02,35,57,3.22,'broken clouds'
203,Gat,IL,31.61,34.76,73.99,77,100,2.35,'overcast clouds'
204,Tabou,CI,4.42,-7.35,77.94,87,29,5.55,'scattered clouds'
205,Pelym,RU,61.01,62.0,25.41,96,19,4.85,'few clouds'
206,Tiksi,RU,71.69,128.87,-5.15,90,0,6.73,'clear sky'
207,Finnentrop,DE,51.17,7.97,60.01,89,93,5.99,'overcast clouds'
208,Tuatapere,NZ,-46.13,167.68,53.01,73,34,11.99,'scattered clouds'
209,Katangli,RU,51.71,143.23,43.3,97,100,11.45,'moderate rain'
210,Rheinau,DE,48.87,8.2,64.99,72,90,14.99,'overcast clouds'
211,Xuddur,SO,4.12,43.89,74.35,81,89,9.55,'moderate rain'
212,Tocatlan,MX,19.38,-98.02,57.78,62,5,12.08,'clear sky'
213,East London,ZA,-33.02,27.91,65.84,85,80,15.32,'light rain'
214,Normal,US,40.51,-88.99,41.0,38,1,19.46,'clear sky'
215,Chipata,ZM,-13.63,32.65,65.82,76,1,5.19,'clear sky'
216,Okhotsk,RU,59.38,143.3,19.06,87,100,17.02,'overcast clouds'
217,Airai,TL,-8.93,125.41,63.01,74,96,2.37,'overcast clouds'
218,Acapulco,MX,16.86,-99.89,85.15,66,90,8.59,'overcast clouds'
219,Zyryanka,RU,65.75,150.85,-2.76,91,97,1.1,'overcast clouds'
220,Ancud,CL,-41.87,-73.82,62.6,67,46,6.93,'scattered clouds'
221,Codrington,AU,-38.27,141.97,59.85,74,61,7.99,'broken clouds'
222,Temoac,MX,18.77,-98.78,77.76,47,3,2.93,'clear sky'
223,Lardos,GR,36.09,28.02,69.8,56,20,13.87,'few clouds'
224,Navodari,RO,44.32,28.6,48.2,87,0,4.7,'clear sky'
225,Thompson,CA,55.74,-97.86,24.8,85,75,9.17,'broken clouds'
226,Naifaru,MV,5.44,73.37,82.09,73,56,6.87,'broken clouds'
227,Nong Bua,TH,15.86,100.59,73.94,92,22,2.93,'few clouds'
228,Iquique,CL,-20.22,-70.14,64.4,72,0,20.8,'clear sky'
229,Epe,NG,6.58,3.98,77.95,91,93,6.29,'moderate rain'
230,Gubkinskiy,RU,64.43,76.5,29.91,97,95,21.59,'overcast clouds'
231,Lata,PT,40.16,-8.33,66.0,92,99,1.05,'overcast clouds'
232,Wau,SS,7.7,28.0,74.52,79,56,2.55,'broken clouds'
233,Omboue,GA,-1.57,9.26,75.9,92,91,5.75,'light rain'
234,Batagay,RU,67.63,134.63,-13.86,87,95,4.32,'overcast clouds'
235,Ballina,AU,-28.87,153.57,70.0,72,75,10.29,'broken clouds'
236,Lasa,IT,46.62,10.7,50.0,71,75,5.82,'broken clouds'
237,Amazar,RU,53.86,120.88,8.15,78,98,10.09,'overcast clouds'
238,Tucuman,AR,-26.82,-65.22,86.0,22,0,10.29,'clear sky'
239,Kamennogorsk,RU,60.95,29.13,36.0,100,90,9.17,'overcast clouds'
240,Narsaq,GL,60.92,-46.05,21.2,73,0,4.7,'clear sky'
241,Sovetskiy,RU,61.36,63.58,26.91,96,23,7.47,'few clouds'
242,Graben-Neudorf,DE,49.17,8.49,64.99,63,97,9.98,'overcast clouds'
243,Crestview,US,30.76,-86.57,73.99,46,1,8.05,'clear sky'
244,Husavik,IS,66.04,-17.34,37.4,55,90,5.82,'overcast clouds'
245,Hithadhoo,MV,-0.6,73.08,83.26,73,100,9.8,'overcast clouds'
246,Viedma,AR,-40.81,-63.0,82.0,21,0,18.54,'clear sky'
247,Coracora,PE,-15.03,-73.78,54.99,40,0,10.51,'clear sky'
248,Luziania,BR,-16.25,-47.95,77.0,69,75,6.93,'broken clouds'
249,Kayerkan,RU,69.35,87.76,21.2,92,100,13.42,'light snow'
250,Asau,RO,46.43,26.4,37.99,96,1,5.53,'clear sky'
251,Eltham,NZ,-39.43,174.3,60.01,86,100,1.99,'overcast clouds'
252,Aksu,CN,41.12,80.26,37.22,67,0,1.77,'clear sky'
253,Coquimbo,CL,-29.95,-71.34,57.2,76,40,12.75,'scattered clouds'
254,Bonfim,BR,3.08,-59.95,84.36,65,98,5.21,'moderate rain'
255,Clyde River,CA,70.47,-68.59,12.2,85,40,8.05,'scattered clouds'
256,Monroe,US,43.15,-77.68,43.0,56,75,17.22,'broken clouds'
257,Iqaluit,CA,63.75,-68.51,12.2,85,75,4.7,'light snow'
258,Coihaique,CL,-45.58,-72.07,77.0,17,0,8.05,'clear sky'
259,Beisfjord,NO,68.38,17.6,50.0,57,75,19.46,'broken clouds'
260,Marystown,CA,47.17,-55.15,42.01,100,45,5.01,'scattered clouds'
261,Ibb,YE,13.97,44.18,58.35,35,0,3.44,'clear sky'
262,Sibolga,ID,1.74,98.78,75.67,82,95,2.55,'moderate rain'
263,Seminole,US,28.71,-81.21,81.0,74,75,6.93,'broken clouds'
264,Kodiak,US,57.79,-152.41,30.2,50,75,9.17,'broken clouds'
265,Linxia,CN,35.6,103.21,34.36,77,20,0.4,'few clouds'
266,Hamilton,US,39.18,-84.53,43.0,41,75,14.99,'broken clouds'
267,Atar,MR,20.52,-13.05,82.94,17,100,7.92,'overcast clouds'
268,Nara,JP,34.69,135.8,62.01,82,75,4.7,'broken clouds'
269,Pingzhuang,CN,42.04,119.29,30.13,77,10,9.73,'clear sky'
270,Ust-Maya,RU,60.42,134.53,-11.69,89,47,3.74,'scattered clouds'
271,Trindade,BR,-16.65,-49.49,84.2,51,20,5.82,'few clouds'
272,Gorgan,IR,36.84,54.43,66.2,88,75,6.93,'mist'
273,Mareeba,AU,-17.0,145.43,81.0,65,0,9.17,'clear sky'
274,Imbituba,BR,-28.24,-48.67,68.0,56,40,9.17,'scattered clouds'
275,San Cristobal,VE,7.77,-72.22,84.2,70,40,9.17,'scattered clouds'
276,Kongolo,CD,-5.38,27.0,72.01,86,36,0.45,'scattered clouds'
277,Flin Flon,CA,54.77,-101.86,35.6,74,75,8.05,'broken clouds'
278,Katherine,AU,-14.47,132.27,78.8,44,27,2.24,'scattered clouds'
279,Palmer,US,42.16,-72.33,50.0,100,90,4.7,"'moderate rain', 'mist'"
280,Sal Rei,CV,16.18,-22.92,77.0,83,75,10.29,'broken clouds'
281,Farafenni,GM,13.57,-15.6,80.73,41,3,6.8,'clear sky'
282,Pokrovsk,UA,48.28,37.18,50.56,87,46,10.98,'scattered clouds'
283,Tessalit,ML,20.2,1.01,76.82,19,32,12.12,'scattered clouds'
284,Gondar,ET,12.6,37.47,58.39,53,4,7.27,'clear sky'
285,Kieta,PG,-6.22,155.63,84.56,63,22,2.48,'few clouds'
286,Havre,FR,49.58,0.33,63.0,88,90,19.46,'overcast clouds'
287,Bathurst,AU,-33.42,149.58,60.01,62,0,3.0,'clear sky'
288,Gigmoto,PH,13.78,124.39,79.27,82,99,5.61,'moderate rain'
289,Bubaque,GW,11.28,-15.83,83.66,77,0,15.68,'light rain'
290,Inuvik,CA,68.35,-133.72,10.4,85,99,2.24,'overcast clouds'
291,Coahuayana,MX,18.73,-103.68,87.66,58,5,4.61,'clear sky'
292,Marzuq,YE,14.4,46.47,61.32,31,0,1.59,'clear sky'
293,Robe,AU,-37.18,139.75,60.03,72,72,13.02,'broken clouds'
294,Lavrentiya,RU,65.58,-171.0,22.42,88,0,4.21,'clear sky'
295,Grand Gaube,MU,-20.01,57.66,66.99,69,55,3.0,'broken clouds'
296,Kruisfontein,ZA,-34.0,24.73,64.0,80,21,3.0,'few clouds'
297,Kurilsk,RU,45.23,147.88,51.76,88,100,14.79,'overcast clouds'
