City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Progreso,MX,2020-11-01 02:05:22,21.28,-89.67,78.8,88,75,6.93
182,Caucaia,BR,2020-11-01 02:05:22,-3.74,-38.65,80.6,78,40,8.05
183,Avarua,CK,2020-11-01 02:05:02,-21.21,-159.78,75.2,83,100,8.05
184,Bereznik,RU,2020-11-01 02:05:22,62.86,42.71,29.16,97,27,2.71
185,Pevek,RU,2020-11-01 02:05:23,69.7,170.31,15.96,93,77,12.53
186,Pisco,PE,2020-11-01 02:05:23,-13.7,-76.22,62.6,88,0,11.41
187,Gayny,RU,2020-11-01 02:05:23,60.31,54.32,26.87,98,24,5.44
188,Villa Maria,AR,2020-11-01 02:05:23,-32.41,-63.24,61.0,47,0,3.0
189,Tocopilla,CL,2020-11-01 02:05:23,-22.09,-70.2,61.52,61,0,1.68
190,Vadso,NO,2020-11-01 02:05:23,70.07,29.75,32.0,88,75,11.41
191,Antofagasta,CL,2020-11-01 02:05:23,-23.65,-70.4,59.0,82,90,9.17
192,Hay River,CA,2020-11-01 02:05:23,60.82,-115.8,28.4,79,100,3.36
193,Marzuq,YE,2020-11-01 02:05:23,14.4,46.47,61.29,34,0,3.78
194,Uhlove,UA,2020-11-01 02:05:23,44.82,33.6,53.17,77,99,4.72
195,Bubaque,GW,2020-11-01 02:05:23,11.28,-15.83,83.44,72,98,8.59
196,Tadine,NC,2020-11-01 02:05:24,-21.55,167.88,79.14,65,0,14.27
197,Lompoc,US,2020-11-01 02:05:24,34.64,-120.46,64.4,82,1,8.05
198,Iseyin,NG,2020-11-01 02:05:24,7.97,3.6,72.14,97,30,4.5
199,Severo-Yeniseyskiy,RU,2020-11-01 02:05:24,60.37,93.04,13.44,96,100,6.46
200,Marsa Matruh,EG,2020-11-01 02:05:24,31.35,27.25,64.4,77,40,9.57
201,Kassala,SD,2020-11-01 02:05:24,15.45,36.4,79.63,46,6,3.51
202,Nantucket,US,2020-11-01 02:02:37,41.28,-70.1,44.01,56,1,6.93
203,Fairbanks,US,2020-11-01 02:05:24,64.84,-147.72,9.0,84,90,1.7
204,Aitape,PG,2020-11-01 02:05:24,-3.14,142.35,86.49,67,100,7.92
205,Kyabram,AU,2020-11-01 02:05:24,-36.32,145.05,75.0,30,0,7.29
206,Nipawin,CA,2020-11-01 02:05:24,53.37,-104.0,23.0,73,90,9.17
207,Muroto,JP,2020-11-01 02:05:25,33.28,134.15,68.0,60,75,8.05
208,Mackay,AU,2020-11-01 02:05:22,-21.15,149.2,91.99,52,0,13.87
209,Airai,TL,2020-11-01 02:05:25,-8.93,125.41,78.1,35,0,3.27
210,Zaragoza,ES,2020-11-01 02:04:23,41.66,-0.88,60.01,87,0,2.24
211,Yarkovo,RU,2020-11-01 02:05:25,57.4,67.08,38.91,94,100,10.94
212,Mayo,US,2020-11-01 02:05:25,38.89,-76.51,50.0,71,75,12.75
213,Port Moresby,PG,2020-11-01 02:05:25,-9.44,147.18,89.6,62,40,11.41
214,Leningradskiy,RU,2020-11-01 02:05:25,69.38,178.42,15.87,88,35,6.98
215,Asuncion,PY,2020-11-01 02:05:21,-25.3,-57.64,75.2,44,0,12.75
216,Boden,SE,2020-11-01 02:01:22,65.83,21.69,35.6,93,90,2.24
217,Sumbe,AO,2020-11-01 02:05:26,-11.21,13.84,76.15,89,97,4.88
218,Alexandria,EG,2020-11-01 02:03:03,31.22,29.96,73.4,53,40,8.05
219,Qiongshan,CN,2020-11-01 02:05:26,20.01,110.35,78.8,74,0,11.18
220,Ancud,CL,2020-11-01 02:05:26,-41.87,-73.82,52.0,87,0,2.24
221,Hasaki,JP,2020-11-01 02:05:26,35.73,140.83,63.0,59,40,6.93
222,Natal,BR,2020-11-01 02:05:19,-5.79,-35.21,78.8,83,20,5.82
223,Bilma,NE,2020-11-01 02:05:27,18.69,12.92,68.45,37,0,15.01
224,Sola,VU,2020-11-01 02:05:27,-13.88,167.55,81.48,80,80,18.48
